epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,103.758,0.61735,2.28548,0.8606,0.975,0.55828,0.76555,0.69677,0.598,12.2338,0.83109,0.00078715,0.00078715,0.00078715
45,106.296,0.63834,2.30816,0.86998,1,0.55828,0.77663,0.70209,0.58821,11.4198,0.82911,0.0007822,0.0007822,0.0007822
46,108.73,0.58747,2.26928,0.85891,1,0.54601,0.7705,0.72075,0.5534,10.8515,0.81497,0.00077725,0.00077725,0.00077725
47,111.284,0.61752,2.51471,0.85813,1,0.55828,0.77663,0.67083,0.57019,11.238,0.83852,0.0007723,0.0007723,0.0007723
48,113.783,0.61514,2.4545,0.86361,1,0.55828,0.77663,0.68793,0.60938,12.3159,0.84553,0.00076735,0.00076735,0.00076735
49,116.409,0.61151,2.24929,0.85682,0.99633,0.55828,0.76555,0.66506,0.60909,11.9653,0.8614,0.0007624,0.0007624,0.0007624
50,119.013,0.60871,2.39898,0.8594,1,0.54908,0.77204,0.68352,0.59442,12.2043,0.84897,0.00075745,0.00075745,0.00075745
51,121.528,0.57461,2.24897,0.84841,1,0.54601,0.7705,0.70755,0.53752,12.1008,0.81077,0.0007525,0.0007525,0.0007525
52,124.04,0.55207,2.18317,0.84231,1,0.54294,0.76897,0.74917,0.51602,12.323,0.80446,0.00074755,0.00074755,0.00074755
53,126.63,0.59957,2.34486,0.86077,0.99657,0.54294,0.76897,0.70332,0.56478,12.2467,0.82544,0.0007426,0.0007426,0.0007426
54,129.192,0.61514,2.44725,0.85569,1,0.54601,0.7705,0.72171,0.49571,11.5225,0.8184,0.00073765,0.00073765,0.00073765
55,131.921,0.56248,2.26511,0.84651,0.99773,0.54388,0.7705,0.7003,0.58343,12.2654,0.82549,0.0007327,0.0007327,0.0007327
56,134.667,0.55595,2.1544,0.85198,0.99781,0.54363,0.7705,0.69133,0.5967,12.5621,0.82796,0.00072775,0.00072775,0.00072775
