epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.22551,1.77564,9.04565,1.23906,0,0,0,0,0.99192,8.53526,0.83402,0.08416,0.00016,0.00016
2,5.50605,1.6321,8.54148,1.1671,0,0,0,0,0.98886,8.50937,0.84225,0.0673284,0.000328366,0.000328366
3,7.96993,1.49322,8.10907,1.11364,0,0,0,0,0.91801,8.42583,0.82562,0.050495,0.00049505,0.00049505
4,10.242,1.39244,7.33997,1.0781,0,0,0,0,1.00942,8.16454,0.90661,0.0336601,0.00066005,0.00066005
5,12.5037,1.42836,6.74809,1.11003,0,0,0,0,1.05803,7.1389,0.98011,0.0168234,0.000823368,0.000823368
6,14.7824,1.42008,6.23914,1.1114,0,0,0,0,1.07449,6.66877,0.96157,0.00097525,0.00097525,0.00097525
7,17.2554,1.37967,5.6679,1.08443,0,0,0,0,1.15998,6.44453,0.94764,0.0009703,0.0009703,0.0009703
8,19.591,1.32035,5.1612,1.04093,0,0,0,0,1.05999,6.33387,0.95688,0.00096535,0.00096535,0.00096535
9,21.8695,1.23633,4.60422,1.01214,0.5,0.01534,0.25767,0.20613,1.09768,6.32138,0.96829,0.0009604,0.0009604,0.0009604
10,24.2138,1.19906,4.2475,1.03748,0.5,0.00307,0.25153,0.22637,1.16243,6.2165,1.04554,0.00095545,0.00095545,0.00095545
11,26.5305,1.10694,3.81457,0.99143,0,0,0,0,1.39052,6.76216,1.02557,0.0009505,0.0009505,0.0009505
12,28.8662,1.08052,3.69815,0.96311,0,0,0,0,1.22989,6.98057,0.9777,0.00094555,0.00094555,0.00094555
13,31.1698,1.05731,3.48045,0.9692,0.5,0.04601,0.273,0.22888,1.11375,6.6626,1.04762,0.0009406,0.0009406,0.0009406
14,33.4854,1.02848,3.41125,0.95334,0.5,0.04601,0.273,0.2457,1.19189,6.63414,1.10452,0.00093565,0.00093565,0.00093565
15,35.7865,1.06967,3.33863,0.98821,0.5,0.04601,0.273,0.2457,1.01753,6.38971,1.07526,0.0009307,0.0009307,0.0009307
16,38.1178,1.00516,3.01227,0.95727,0.84615,0.19601,0.53039,0.38373,1.0377,6.56182,1.05773,0.00092575,0.00092575,0.00092575
17,40.4982,0.93582,2.8254,0.93967,1,0.22935,0.61466,0.41653,1.09945,6.71743,1.0746,0.0009208,0.0009208,0.0009208
18,43.0287,0.88761,2.70167,0.91268,0.5,0.04601,0.273,0.2457,1.13275,7.052,1.0625,0.00091585,0.00091585,0.00091585
19,45.3649,0.90282,2.88154,0.93247,0.5,0.04294,0.27147,0.25375,1.0499,7.55602,1.03099,0.0009109,0.0009109,0.0009109
20,47.7199,0.93426,2.6808,0.92944,0.47368,0.05521,0.2655,0.2377,1.03697,7.61261,1.036,0.00090595,0.00090595,0.00090595
21,50.1053,0.90497,2.52235,0.91582,0.475,0.05828,0.26755,0.23313,0.99168,7.0591,1.09102,0.000901,0.000901,0.000901
22,52.4793,0.83813,2.38441,0.89896,0.975,0.49162,0.73418,0.53873,0.90301,7.3194,1.0407,0.00089605,0.00089605,0.00089605
23,54.8107,0.84716,2.43141,0.90503,0.97222,0.38548,0.67946,0.4823,0.94714,7.82288,1.02898,0.0008911,0.0008911,0.0008911
